number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands,snapshot_time
2,toulouse,00002 - LAFAYETTE,21 RUE LAFAYETTE,"{'latitude': 43.604885, 'longitude': 1.445306}",True,False,OPEN,2025-06-24T08:39:35Z,True,False,,"{'availabilities': {'bikes': 22, 'stands': 0, 'mechanicalBikes': 21, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 24}","{'availabilities': {'bikes': 22, 'stands': 0, 'mechanicalBikes': 21, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 24}",,2025-06-24T10:40:30.138289
199,toulouse,00199 - DELTOUR - RIEUX,4 BD DELTOUR,"{'latitude': 43.591484, 'longitude': 1.470014}",False,False,OPEN,2025-06-24T08:38:29Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 21, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}","{'availabilities': {'bikes': 1, 'stands': 21, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}",,2025-06-24T10:40:30.138289
223,toulouse,00223 - BELIN - ROCHE,7 AV EDOUARD BELIN ANGLE AV ROCHE RD-PT GUY DU MERLE,"{'latitude': 43.565079, 'longitude': 1.478297}",True,False,OPEN,2025-06-24T08:39:42Z,True,False,,"{'availabilities': {'bikes': 21, 'stands': 0, 'mechanicalBikes': 14, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}","{'availabilities': {'bikes': 21, 'stands': 0, 'mechanicalBikes': 14, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 22}",,2025-06-24T10:40:30.138289
164,toulouse,00164 - SAOUZELONG - MÉTRO,FACE 79 AV ALBERT BEDOUCE,"{'latitude': 43.579846, 'longitude': 1.460126}",False,False,OPEN,2025-06-24T08:32:06Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",,2025-06-24T10:40:30.138289
10,toulouse,00010 - PLACE ESQUIROL,15 PL ETIENNE ESQUIROL,"{'latitude': 43.600348, 'longitude': 1.444659}",True,False,OPEN,2025-06-24T08:38:48Z,True,False,,"{'availabilities': {'bikes': 32, 'stands': 8, 'mechanicalBikes': 19, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 44}","{'availabilities': {'bikes': 32, 'stands': 8, 'mechanicalBikes': 19, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 44}",,2025-06-24T10:40:30.138289
330,toulouse,00330 - LAPUJADE - BARTOLI,"Face 72, chemin de  Lapujade","{'latitude': 43.622099, 'longitude': 1.453553}",False,False,OPEN,2025-06-24T08:38:40Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 1, 'stands': 11, 'mechanicalBikes': 1, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
35,toulouse,00035 - PLACE JEANNE D'ARC,1 RUE RAYMOND IV,"{'latitude': 43.609602, 'longitude': 1.446881}",False,False,OPEN,2025-06-24T08:39:02Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 17, 'mechanicalBikes': 3, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 4, 'stands': 17, 'mechanicalBikes': 3, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",,2025-06-24T10:40:30.138289
1032,toulouse,1032 -  BORNE CGB ATELIER 2,,"{'latitude': 43.6159088, 'longitude': 1.0001755}",False,False,OPEN,2025-06-07T08:22:56Z,False,False,,"{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}","{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}",,2025-06-24T10:40:30.138289
250,toulouse,00250 - 11 NOVEMBRE - NÉGOGOUSSES,RUE DU 11 NOVEMBRE FACE 45 RUE DU 14 JUILLET,"{'latitude': 43.593052, 'longitude': 1.414659}",False,False,OPEN,2025-06-24T08:37:53Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 11, 'mechanicalBikes': 4, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 4, 'stands': 11, 'mechanicalBikes': 4, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",,2025-06-24T10:40:30.138289
45,toulouse,00045 - OZENNE - NAZARETH,10 RUE THEODORE OZENNE,"{'latitude': 43.596314, 'longitude': 1.447081}",False,False,OPEN,2025-06-24T08:35:27Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 9, 'mechanicalBikes': 7, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}","{'availabilities': {'bikes': 7, 'stands': 9, 'mechanicalBikes': 7, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}",,2025-06-24T10:40:30.138289
392,toulouse,00392 - CASSELARDIT - DUCIS,,"{'latitude': 43.609739, 'longitude': 1.406035}",False,False,OPEN,2025-06-24T08:36:30Z,True,False,,"{'availabilities': {'bikes': 10, 'stands': 3, 'mechanicalBikes': 8, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}","{'availabilities': {'bikes': 10, 'stands': 3, 'mechanicalBikes': 8, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 13}",,2025-06-24T10:40:30.138289
83,toulouse,00083 - SÉJOURNÉ - AMIDONNIERS,2 AV PAUL SEJOURNE,"{'latitude': 43.605687, 'longitude': 1.428225}",False,False,OPEN,2025-06-24T08:39:42Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}","{'availabilities': {'bikes': 2, 'stands': 14, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 17}",,2025-06-24T10:40:30.138289
